"","pclass","survived","sex","age","sibsp","parch","fare","embarked","title","solo"
"4","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"5","3rd",1,"male",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"6","3rd",1,"female",29.0053285968028,2,0,23.25,"Queenstown","Miss",0
"7","3rd",1,"female",29.0053285968028,2,0,23.25,"Queenstown","Mr",0
"8","3rd",1,"male",29.0053285968028,2,0,23.25,"Queenstown","Miss",0
"9","3rd",1,"female",29.0053285968028,0,0,7.7874999,"Queenstown","Mr",1
"10","3rd",0,"male",29.0053285968028,0,0,15.5,"Queenstown","Miss",1
"11","3rd",1,"female",29.0053285968028,0,0,7.87919998,"Queenstown","Miss",1
"15","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"18","3rd",0,"female",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"19","3rd",0,"female",29.0053285968028,0,0,8.05000019,"Southampton","Mrs",1
"20","3rd",0,"female",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"22","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"24","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"29","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Miss",1
"30","3rd",1,"female",29.0053285968028,0,0,7.87919998,"Queenstown","Mr",1
"34","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Miss",1
"35","3rd",1,"female",29.0053285968028,1,0,24.1499996,"Queenstown","Mr",0
"37","3rd",0,"male",29.0053285968028,1,0,24.1499996,"Queenstown","Mr",0
"38","3rd",0,"male",29.0053285968028,0,0,8.45829964,"Queenstown","Mr",1
"40","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"41","3rd",1,"male",29.0053285968028,0,0,7.7750001,"Southampton","Master",1
"42","3rd",1,"male",17.3494475138122,1,1,15.2458,"Cherbourg","Master",0
"43","3rd",1,"male",17.3494475138122,1,1,15.2458,"Cherbourg","Mrs",0
"44","3rd",1,"female",17.3494475138122,0,2,15.2458,"Cherbourg","Mrs",0
"45","3rd",1,"female",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"46","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Miss",1
"48","3rd",1,"female",29.0053285968028,0,0,7.73330021,"Queenstown","Miss",1
"50","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Miss",1
"51","3rd",1,"female",29.0053285968028,1,0,15.5,"Queenstown","Miss",0
"52","3rd",1,"female",29.0053285968028,1,0,15.5,"Queenstown","Miss",0
"53","3rd",1,"female",29.0053285968028,0,0,15.5,"Queenstown","Mr",1
"62","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"63","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Miss",1
"64","3rd",0,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"65","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Master",1
"80","1st",0,"male",39.1599179577676,0,0,221.779205,"Southampton","Mrs",1
"81","3rd",0,"male",29.0053285968028,1,0,15.5,"Queenstown","Mr",0
"82","3rd",0,"male",29.0053285968028,0,0,7.82919979,"Queenstown","Mrs",1
"83","3rd",1,"female",29.0053285968028,1,0,15.5,"Queenstown","Mr",0
"84","3rd",0,"male",29.0053285968028,0,0,7.73330021,"Queenstown","Mr",1
"85","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"86","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"88","3rd",0,"female",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"89","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"90","3rd",1,"female",29.0053285968028,0,0,7.87919998,"Queenstown","Miss",1
"91","1st",1,"female",39.1599179577676,0,0,31.6833,"Southampton","Miss",1
"93","3rd",1,"male",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"94","3rd",1,"female",29.0053285968028,0,0,7.82919979,"Queenstown","Master",1
"98","3rd",0,"male",29.0053285968028,0,0,7.3125,"Southampton","Miss",1
"102","1st",1,"female",39.1599179577676,0,0,110.883301,"Cherbourg","Mr",1
"109","3rd",0,"female",29.0053285968028,0,0,7.62919998,"Queenstown","Master",1
"126","3rd",0,"male",29.0053285968028,0,0,8.71249962,"Cherbourg","Mr",1
"131","3rd",0,"male",29.0053285968028,0,0,7,"Southampton","Mr",1
"132","3rd",0,"male",29.0053285968028,0,0,7.7750001,"Southampton","Mr",1
"133","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"139","3rd",1,"male",17.3494475138122,1,1,22.3582993,"Cherbourg","Miss",0
"140","3rd",1,"female",17.3494475138122,1,1,22.3582993,"Cherbourg","Mrs",0
"141","3rd",1,"female",17.3494475138122,0,2,22.3582993,"Cherbourg","Miss",0
"142","3rd",0,"female",29.0053285968028,0,0,8.13749981,"Queenstown","Mr",1
"146","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"151","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"154","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mrs",1
"155","3rd",0,"female",29.0053285968028,0,0,8.11250019,"Southampton","Mr",1
"156","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"157","3rd",0,"male",29.0053285968028,0,0,7.25,"Southampton","Mr",1
"170","3rd",1,"female",29.0053285968028,0,0,7.72079992,"Queenstown","Mr",1
"171","3rd",0,"male",29.0053285968028,0,0,14.5,"Southampton","Mrs",1
"172","3rd",0,"female",29.0053285968028,0,0,14.5,"Southampton","Mr",1
"175","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"176","3rd",0,"male",29.0053285968028,0,0,7.7750001,"Southampton","Miss",1
"181","3rd",1,"female",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"184","3rd",1,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"185","3rd",0,"male",29.0053285968028,0,0,24.1499996,"Queenstown","Mr",1
"186","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"188","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Mr",1
"189","3rd",0,"male",29.0053285968028,0,0,7.72919989,"Queenstown","Mr",1
"190","3rd",0,"male",29.0053285968028,0,0,7.57499981,"Southampton","Mr",1
"193","3rd",0,"male",17.3494475138122,8,2,69.5500031,"Southampton","Master",0
"195","3rd",0,"female",17.3494475138122,8,2,69.5500031,"Southampton","Miss",0
"196","3rd",0,"female",17.3494475138122,8,2,69.5500031,"Southampton","Miss",0
"197","3rd",0,"female",17.3494475138122,8,2,69.5500031,"Southampton","Miss",0
"198","3rd",0,"female",17.3494475138122,8,2,69.5500031,"Southampton","Mr",0
"199","3rd",0,"male",17.3494475138122,8,2,69.5500031,"Southampton","Mr",0
"200","3rd",0,"male",17.3494475138122,8,2,69.5500031,"Southampton","Mr",0
"201","3rd",0,"male",17.3494475138122,8,2,69.5500031,"Southampton","Mr",0
"203","3rd",0,"male",37.3529411764706,1,9,69.5500031,"Southampton","Mrs",0
